order_id,brand_name,product_name,sales_ammount,sales_date,manufacturingcost
381,Apple,iphone12,9344.09,2018-05-01,283.00
1627,Samsung,galaxy11,18351.81,2018-05-01,587.00
2626,Nokia,Nk500,93852.76,2018-05-01,779.00
3146,Samsung,watch320,12089.11,2018-05-01,549.00
4000,Nokia,Nk400,65808.83,2018-05-01,836.00
4681,Nokia,Nk400,44433.82,2018-05-01,836.00
5525,Apple,iphone12,85758.18,2018-05-01,283.00
5875,Apple,Macbook512,85478.83,2018-05-01,737.00
5974,Nokia,Nk400,24289.02,2018-05-01,836.00
7253,Nokia,Nk500,46321.39,2018-05-01,779.00
7955,Nokia,Nk500,80886.00,2018-05-01,779.00
7967,Samsung,galaxy13,97522.84,2018-05-01,867.00
8538,Apple,IpadMini,87675.92,2018-05-01,565.00
10118,Samsung,galaxy13,20124.31,2018-05-01,867.00
10148,Samsung,galaxy12,67774.99,2018-05-01,549.00
10330,Samsung,galaxy11,29289.44,2018-05-01,587.00
11149,Apple,IpadMini,32812.81,2018-05-01,565.00
11307,Apple,iphone12,66193.57,2018-05-01,283.00
12398,Samsung,galaxy11,86547.21,2018-05-01,587.00
13898,Samsung,galaxy11,7751.17,2018-05-01,587.00
14212,Samsung,galaxy12,20245.26,2018-05-01,549.00
14583,Nokia,Nk400,18654.57,2018-05-01,836.00
14600,Samsung,galaxy11,13508.31,2018-05-01,587.00
14929,Nokia,Nk500,54983.72,2018-05-01,779.00
18071,Apple,IpadMax,33784.97,2018-05-01,626.00
18175,Samsung,galaxy10,24002.69,2018-05-01,431.00
19196,Apple,laptop256,44834.29,2018-05-01,164.00
19820,Apple,iphone13,82499.74,2018-05-01,376.00
22389,Apple,IpadMini,14044.91,2018-05-01,565.00
23076,Nokia,Nk500,55961.24,2018-05-01,779.00
23587,Nokia,Nk400,95538.31,2018-05-01,836.00
23803,Samsung,galaxy11,34847.03,2018-05-01,587.00
25569,Samsung,galaxy10,76859.17,2018-05-01,431.00
27778,Apple,iphone12,81189.98,2018-05-01,283.00
29188,Nokia,Nk500,7649.60,2018-05-01,779.00
29214,Apple,Macbook512,62705.13,2018-05-01,737.00
