orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Apple,iphone11,41423.4,2019-01-06
0000002,Nokia,Nk500,98011.41,2018-05-30
0000003,Nokia,Nk320,49131.9,2019-07-06
0000004,Samsung,watch320,67868.61,2018-08-24
0000005,Samsung,watch320,17576.37,2018-09-29
0000006,Nokia,Nk500,45220.95,2019-02-19
0000007,Apple,iphoneSE,23729.87,2019-10-19
0000008,Apple,iphoneSE,99220.9,2019-01-26
0000009,Apple,iphone12,41083.52,2019-03-01
0000010,Apple,laptop256,22709.39,2018-11-24
0000011,Nokia,Nk400,79607.13,2018-12-21
0000012,Nokia,Nk400,60960.11,2019-02-10
0000013,Nokia,Nk320,83836.56,2018-07-08
0000014,Samsung,watch320,23901.29,2019-07-04
0000015,Nokia,Nk500,92436.83,2018-06-07
0000016,Nokia,Nk320,27405.84,2018-06-09
0000017,Apple,laptop256,63008.45,2019-06-12
0000018,Samsung,galaxy10,70422.53,2019-06-16
0000019,Apple,IpadMax,66179.51,2019-05-07
0000020,Apple,IpadMax,61293.53,2019-02-23
0000021,Nokia,Nk320,24891.23,2020-01-02
0000022,Samsung,watch340,34634.17,2019-10-20
0000023,Samsung,watch320,4823.32,2018-08-03
0000024,Nokia,Nk320,14336.32,2020-03-11
0000025,Apple,iphone11,64315.78,2019-02-02
0000026,Nokia,Nk320,69062.6,2018-12-01
0000027,Samsung,galaxy12,70387.34,2020-01-25
0000028,Apple,iphone13,99693.28,2019-02-07
0000029,Nokia,Nk500,53690.87,2019-11-02
0000030,Apple,laptop256,48314.48,2019-05-14
0000031,Nokia,Nk400,55248.32,2019-11-26
0000032,Samsung,galaxy13,22107.97,2019-11-27
0000033,Nokia,Nk400,43617.25,2018-12-18
0000034,Samsung,galaxy12,43216.34,2019-04-22
0000035,Apple,IpadMini,90066.95,2019-12-17
0000036,Nokia,Nk500,33326.67,2018-09-29
0000037,Nokia,Nk500,2356.59,2019-10-31
0000038,Samsung,galaxy12,70473.8,2018-11-08
0000039,Nokia,Nk500,71163.79,2019-07-20
0000040,Nokia,Nk500,24806.25,2018-07-01
0000041,Nokia,Nk400,45145.06,2019-05-17
0000042,Nokia,Nk400,63582.99,2019-09-03
0000043,Samsung,galaxy11,8333.81,2018-09-23
0000044,Nokia,Nk400,79671.88,2019-07-21
0000045,Apple,IpadMini,44347.76,2019-11-27
0000046,Samsung,galaxy10,54828.17,2020-01-31
0000047,Samsung,galaxy13,7631.32,2019-06-12
0000048,Nokia,Nk500,20199.75,2018-07-15
0000049,Samsung,galaxy12,59054.86,2019-04-04
0000050,Apple,laptop256,48827.3,2019-01-22
0000051,Samsung,galaxy10,75019.44,2018-05-27
0000052,Nokia,Nk320,87669.27,2019-02-28
0000053,Apple,iphoneSE,19066.81,2018-09-04
0000054,Apple,Macbook512,87495.88,2020-03-04
0000055,Nokia,Nk400,16962.77,2018-08-25
0000056,Samsung,watch320,84312.74,2019-09-10
0000057,Samsung,watch340,22768.19,2018-11-09
0000058,Apple,laptop256,27382.72,2019-10-27
0000059,Apple,Macbook512,12947.74,2020-01-06
0000060,Apple,IpadMini,23522.75,2018-06-11
0000061,Samsung,galaxy12,94088.26,2020-04-25
0000062,Nokia,Nk400,18176.91,2019-02-25
0000063,Nokia,Nk500,48747.01,2019-11-06
0000064,Samsung,watch340,36521.13,2020-02-08
0000065,Nokia,Nk400,41682.33,2019-11-16
0000066,Apple,IpadMini,12673.65,2019-11-04
0000067,Samsung,galaxy13,14431.75,2018-11-04
0000068,Apple,Macbook512,31232.41,2018-09-04
0000069,Nokia,Nk500,40383.01,2019-02-15
0000070,Apple,iphone12,61661.83,2019-11-25
0000071,Apple,iphone12,45136.39,2020-04-20
0000072,Nokia,Nk320,51242.26,2019-08-19
0000073,Samsung,galaxy13,95973.21,2018-07-17
0000074,Samsung,watch340,25948.21,2019-05-14
0000075,Nokia,Nk320,98828.34,2020-03-15
0000076,Samsung,galaxy11,67968.51,2019-02-28
0000077,Apple,iphone11,41095.1,2018-08-06
0000078,Apple,laptop256,68556.69,2019-02-18
0000079,Nokia,Nk320,40391.62,2019-09-13
0000080,Apple,IpadMini,6268.94,2020-03-24
0000081,Nokia,Nk500,87760.35,2019-01-25
0000082,Samsung,galaxy11,65866.91,2018-05-02
0000083,Apple,iphoneSE,58837.84,2018-05-05
0000084,Samsung,watch340,7879.54,2020-04-27
0000085,Nokia,Nk320,52893.55,2019-02-04
0000086,Apple,iphone13,80919.68,2018-11-30
0000087,Apple,Macbook512,96983.3,2018-09-08
0000088,Nokia,Nk320,90684.61,2019-06-04
0000089,Samsung,galaxy12,47378.13,2018-07-11
0000090,Nokia,Nk400,52068.62,2019-07-25
